Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Los Angeles County, California","9,580,929","2,451,482","159,659",25.59%,1.67%,"5,044,902","182,507",52.66%,1.90%,"2,084,545","149,307",21.76%,1.56%
"Cook County, Illinois","5,053,668","1,652,226","109,671",32.69%,2.17%,"2,246,122","118,712",44.45%,2.35%,"1,155,320","101,270",22.86%,2.00%
"Harris County, Texas","4,805,691","1,437,401","93,887",29.91%,1.95%,"2,232,046","103,469",46.45%,2.15%,"1,136,244","87,365",23.64%,1.82%
"Kings County, New York","2,554,683","485,386","88,388",19.00%,3.46%,"1,238,050","100,872",48.46%,3.95%,"831,247","89,266",32.54%,3.49%
"Maricopa County, Arizona","4,542,114","1,569,842","85,519",34.56%,1.88%,"2,156,110","91,724",47.47%,2.02%,"816,162","71,667",17.97%,1.58%
"Queens County, New York","2,247,489","446,416","66,414",19.86%,2.96%,"1,113,179","78,728",49.53%,3.50%,"687,894","71,706",30.61%,3.19%
"San Diego County, California","3,228,261","1,027,186","59,351",31.82%,1.84%,"1,632,634","65,212",50.57%,2.02%,"568,441","51,269",17.61%,1.59%
"Orange County, California","3,106,993","925,569","58,862",29.79%,1.89%,"1,632,387","65,505",52.54%,2.11%,"549,037","52,195",17.67%,1.68%
"New York County, New York","1,559,173","255,253","58,386",16.37%,3.74%,"799,352","65,773",51.27%,4.22%,"504,568","57,852",32.36%,3.71%
"Dallas County, Texas","2,587,138","763,100","58,181",29.50%,2.25%,"1,239,873","63,671",47.92%,2.46%,"584,165","53,248",22.58%,2.06%
"Miami-Dade County, Florida","2,660,790","673,267","58,002",25.30%,2.18%,"1,321,429","66,240",49.66%,2.49%,"666,094","58,149",25.03%,2.19%
"Clark County, Nevada","2,324,571","710,708","52,805",30.57%,2.27%,"1,131,170","57,399",48.66%,2.47%,"482,693","46,416",20.76%,2.00%
"Bronx County, New York","1,343,823","191,519","49,922",14.25%,3.71%,"581,128","63,339",43.24%,4.71%,"571,176","60,123",42.50%,4.47%
"King County, Washington","2,250,619","897,529","47,686",39.88%,2.12%,"1,004,335","49,975",44.62%,2.22%,"348,755","37,170",15.50%,1.65%
"Philadelphia County, Pennsylvania","1,508,400","395,755","47,428",26.24%,3.14%,"683,742","54,979",45.33%,3.64%,"428,903","49,063",28.43%,3.25%
"Tarrant County, Texas","2,165,534","743,002","46,070",34.31%,2.13%,"1,000,925","49,133",46.22%,2.27%,"421,607","40,237",19.47%,1.86%
"Broward County, Florida","1,957,262","595,353","45,655",30.42%,2.33%,"929,709","49,758",47.50%,2.54%,"432,200","41,847",22.08%,2.14%
"Bexar County, Texas","2,072,277","634,013","44,080",30.59%,2.13%,"976,346","49,117",47.11%,2.37%,"461,918","42,058",22.29%,2.03%
"Wayne County, Michigan","1,746,243","571,651","43,571",32.74%,2.50%,"735,195","46,643",42.10%,2.67%,"439,397","40,200",25.16%,2.30%
"Santa Clara County, California","1,848,565","624,544","40,812",33.79%,2.21%,"922,796","44,469",49.92%,2.41%,"301,225","34,513",16.30%,1.87%
"Riverside County, California","2,471,406","686,810","40,754",27.79%,1.65%,"1,318,778","45,896",53.36%,1.86%,"465,818","36,621",18.85%,1.48%
"San Bernardino County, California","2,178,350","584,525","39,294",26.83%,1.80%,"1,181,995","44,796",54.26%,2.06%,"411,830","35,905",18.91%,1.65%
"Middlesex County, Massachusetts","1,583,858","692,994","38,473",43.75%,2.43%,"638,202","39,062",40.29%,2.47%,"252,662","30,382",15.95%,1.92%
"Hillsborough County, Florida","1,515,105","535,975","36,878",35.38%,2.43%,"683,347","38,872",45.10%,2.57%,"295,783","31,090",19.52%,2.05%
"Alameda County, California","1,603,937","505,973","35,459",31.55%,2.21%,"805,014","38,938",50.19%,2.43%,"292,950","31,058",18.26%,1.94%
"Sacramento County, California","1,571,193","481,343","35,153",30.64%,2.24%,"782,364","38,212",49.79%,2.43%,"307,486","30,082",19.57%,1.91%
"Palm Beach County, Florida","1,520,733","446,960","34,955",29.39%,2.30%,"728,648","38,381",47.91%,2.52%,"345,125","32,432",22.69%,2.13%
"Travis County, Texas","1,318,306","533,585","34,738",40.48%,2.64%,"576,060","36,144",43.70%,2.74%,"208,661","28,174",15.83%,2.14%
"Orange County, Florida","1,440,955","513,028","34,615",35.60%,2.40%,"655,225","36,517",45.47%,2.53%,"272,702","29,310",18.93%,2.03%
"Hennepin County, Minnesota","1,247,388","548,144","33,304",43.94%,2.67%,"485,516","33,512",38.92%,2.69%,"213,728","26,399",17.13%,2.12%
"Cuyahoga County, Ohio","1,222,544","443,534","33,176",36.28%,2.71%,"493,034","35,077",40.33%,2.87%,"285,976","30,011",23.39%,2.45%
