HUD Metro Fair Market Rent Area Name,CBSASub23,"ZIP
Code",erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4
"Abilene, TX MSA",METRO10180M10180,76437,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,76443,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,76464,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,76469,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79501,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79503,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79504,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79508,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79510,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79519,$740,$790,"$1,020","$1,380","$1,670"
"Abilene, TX MSA",METRO10180M10180,79520,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79521,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79525,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79530,$740,$790,"$1,020","$1,380","$1,670"
"Abilene, TX MSA",METRO10180M10180,79533,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79536,$750,$800,"$1,030","$1,390","$1,690"
"Abilene, TX MSA",METRO10180M10180,79541,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79553,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79560,$750,$800,"$1,030","$1,390","$1,690"
"Abilene, TX MSA",METRO10180M10180,79561,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79562,$800,$850,"$1,100","$1,490","$1,800"
"Abilene, TX MSA",METRO10180M10180,79563,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79566,$740,$790,"$1,020","$1,380","$1,670"
"Abilene, TX MSA",METRO10180M10180,79567,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79601,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79602,$732,$780,"$1,010","$1,370","$1,660"
"Abilene, TX MSA",METRO10180M10180,79603,$732,$779,"$1,006","$1,360","$1,649"
"Abilene, TX MSA",METRO10180M10180,79604,$740,$790,"$1,020","$1,380","$1,670"
"Abilene, TX MSA",METRO10180M10180,79605,$770,$820,"$1,060","$1,430","$1,740"
"Abilene, TX MSA",METRO10180M10180,79606,$790,$840,"$1,080","$1,460","$1,770"
"Abilene, TX MSA",METRO10180M10180,79607,$980,"$1,050","$1,350","$1,830","$2,210"
"Abilene, TX MSA",METRO10180M10180,79608,$740,$790,"$1,020","$1,380","$1,670"
"Abilene, TX MSA",METRO10180M10180,79699,$732,$779,"$1,006","$1,360","$1,649"
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00601,$384,$420,$485,$640,$710
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00602,$384,$420,$485,$597,$677
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00603,$430,$470,$540,$660,$750
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00604,$440,$480,$550,$680,$770
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00605,$440,$480,$550,$680,$770
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00610,$400,$430,$500,$620,$700
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00611,$384,$420,$485,$597,$677
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00612,$420,$430,$490,$650,$790
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00631,$384,$420,$485,$597,$680
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00641,$384,$420,$485,$597,$680
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00650,$470,$480,$550,$760,$910
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00662,$400,$430,$500,$620,$700
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00664,$384,$420,$485,$597,$677
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00669,$384,$420,$485,$597,$740
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00670,$384,$420,$485,$597,$740
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00676,$384,$420,$485,$597,$677
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00677,$400,$440,$510,$630,$710
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00678,$430,$440,$500,$640,$720
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00680,$420,$430,$490,$600,$750
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00685,$384,$420,$485,$597,$677
"Aguadilla-Isabela, PR MSA",METRO10380M10380,00690,$540,$590,$680,$840,$950
